Proposta pendente;Mês;Produto;Nome da Campanha;Tipo;Digital;Videos;Print;peças alteradas pós 3 rodada;Status;Data inicio;Data final;DATA REAL FINAL;diferença final e real;Producer PXP;GP DPZ;Valor Proposta Ratecard Hub;Cobrado em;Custo extra (CE);
;Fevereiro 24;Kwid;REN0204-RNT_KWID_ANUNCIO_ALBA;Single Page;0;0;1;0;Entregue;01/03/2024;01/03/2024;01/03/2024;0;Jéssica Gerald;Raquel Dias;R$853,89;Mar/24;;
;Março 24;Duster;REN0205_RNT_DUSTER_PEÇAS_BUY_MARÇO_ADICIONAIS;Digital Standard HTML;6;0;0;0;Entregue;04/03/2024;04/03/2024;04/03/2024;0;Jéssica Gerald;Raquel Dias;R$2.384,81;Mar/24;;
;Março 24;Kardian;REN0206-RNT-PV Mecânicos Novas Ofertas;Static Banners;15;0;0;0;Entregue;05/03/2024;06/03/2024;05/03/2024;1;Jessica Gerald;Fabiana Delboni;R$1.626,55;Mar/24;;
;Março 24;Kardian;REN0207-RNT-Vídeos Kardian Lançamento;"Video Broadcast
Video no Broadcast";0;4;0;0;Entregue;07/03/2024;07/03/2024;08/03/2024;-1;Jessica Gerald;Fabiana Delboni;R$73.973,34;Mar/24;;
;Março 24;Institucional;REN0209-RNT-R talks;Video Broadcast;0;9;0;0;Entregue;11/03/2024;11/03/2024;14/03/2024;-3;Jessica Gerald;Cintia Ramos;R$38.974,01;Mar/24;;
;Março 24;Duster;REN0210-RNT-DUSTER-RDEMOS-MARÇO;Video no Broadcast;0;6;0;0;Entregue;13/03/2024;12/04/2024;11/04/2024;1;Jéssica Gerald;Raquel Dias;R$9.936,72;Mar/24;;
;Março 24;Master;REN0211-RNT-MASTER-ANUNCIO-PREMIO-LOTUS;Double Page;0;0;1;0;Entregue;14/03/2024;15/03/2024;15/03/2024;0;Jéssica Gerald;Raquel Dias;R$1.239,97;Mar/24;;
;Março 24;Kardian;REN0213-RNT-Lançamento Kardian Desdobramento;"Digital Standard HTML
Double Page
Static Banners";31;29;6;0;Entregue;15/03/2024;18/03/2024;17/03/2024;1;Jessica Gerald;Fabiana Delboni;R$27.033,12;Mar/24;;
;Março 24;Kardian;REN0214-RNT - Kardian Lançamento OOH;OOH Static;51;21;0;0;Entregue;15/03/2024;28/03/2024;19/03/2024;9;Jessica Gerald;Fabiana Delboni;R$58.262,28;Mar/24;;
;Março 24;Kwid E-Tech;REN0215-RNT-RENAULT-KWID-ETECH-RDEMOS-WEBMOTORS;Video no Broadcast;0;1;0;;Entregue;25/03/2024;18/04/2024;18/04/2024;0;Jéssica Gerald;Raquel Dias;R$1.380,10;Mar/24;;
;Março 24;Kwid;REN0216-RENAULT-RNT-KWID-ICE-DIGITAL-TVCS;Video no Broadcast;0;6;0;0;Entregue;25/03/2024;19/04/2024;19/04/2024;0;Jéssica Gerald;Raquel Dias;R$11.261,61;Mar/24;;
;Março 24;Kwid;REN0217-RNT- KWID-ICE-LEARN SHOP-DEDOBRAMENTOS;"Digital Standard HTML
Double Page
OOH Static";31;4;0;0;Entregue;27/03/2024;01/04/2024;08/04/2024;-7;Jéssica Gerald;Raquel Dias;R$6.941,51;Abr/24;;
;Março 24;Institucional;REN0218-RNT-ECOSSISTEMA-TENIS;Video no Broadcast;0;8;0;0;Entregue;27/03/2024;28/03/2024;28/03/2024;0;Jéssica Gerald;Jessica Alencar;R$5.741,21;Abr/24;;
;Março 24;Kwid E-Tech;REN0219 - RNT - KWID - ETECH - BUY - DESDOBRAMENTOS - MARÇO;"Digital Standard HTML
Static Banners
Video no Broadcast";18;2;0;0;Entregue;27/03/2024;01/04/2024;28/03/2024;4;Jéssica Gerald;Raquel Dias;R$4.935,63;Abr/24;;
;Março 24;Duster;REN0220 - RNT - DUSTER - BUY -DESDOBRAMENTOS - ABRIL;"Digital Standard HTML
Rich Media Banners
Video no Broadcast";29;3;0;0;Entregue;27/03/2024;10/04/2024;10/04/2024;0;Jéssica Gerald;Raquel Dias;R$6.412,34;Abr/24;;
;Março 24;Duster;REN0221-RNT-DUSTER-TVC-DESDOBRAMENTOS-ABRIL;Video no Broadcast;0;2;0;0;Entregue;27/03/2024;18/04/2024;01/04/2024;17;Jéssica Gerald;Raquel Dias;R$6.624,48;Mai/24;;
;Março 24;Kardian;REN0224-RNT-Kardian Lançamento Fase Shop;"Digital Standard HTML
Static Banners";346;0;0;0;Entregue;28/03/2024;16/04/2024;16/04/2024;0;Jéssica Gerald;Fabiana Delboni;R$67.448,23;Abr/24;;
;Março 24;Kardian;REN0225- RNT - Kardian Lançamento Fase Buy;Digital Standard HTML;12;0;0;0;Entregue;28/03/2024;01/04/2024;03/04/2024;-2;Jéssica Gerald;Fabiana Delboni;R$1.605,25;Abr/24;;
;Abril 24;Kwid E-Tech;REN0226-RNT-KWID-ETECH-SHOP_LEARN-DESDOBRAMENTOS -MARÇO;"Digital Standard HTML
Rich Media Banners
Static Banners";82;2;0;0;Entregue;01/04/2024;02/04/2024;03/04/2024;-1;Jéssica Gerald;Raquel Dias;R$15.715,00;Abr/24;;
;Abril 24;Kardian;REN0227-RNT-KARDIAN-COMUNICACAO-ABRIL;"Double Page
Rich Media Banners";6;0;2;0;Entregue;01/04/2024;05/04/2024;05/04/2024;0;Jéssica Gerald;Gustavo Albuquerque;R$3.434,58;Abr/24;;
;Março 24;Kwid;REN0228-RNT- KWID-ICE-BUY-DEDOBRAMENTOS;"Digital Standard HTML
Rich Media Banners
Video no Broadcast";20;0;2;0;Entregue;10/04/2024;11/04/2024;08/04/2024;3;Jéssica Gerald;Raquel Dias;R$8.057,42;Abr/24;;
;Abril 24;Pós-vendas;REN0229-RNT-PÓS VENDAS-OFERTAS E-COMMERCE;Static Banners;3;0;0;0;Entregue;03/04/2024;03/04/2024;03/04/2024;0;Marilete Botelho;Fabiana Delboni;R$325,31;Abr/24;;
;Abril 24;Pós-vendas;REN0230-RNT-PÓS VENDAS-OFERTAS MECÂNICOS;Static Banners;30;0;0;0;Entregue;03/04/2024;03/04/2024;03/04/2024;0;Marilete Botelho;Fabiana Delboni;R$3.253,09;Abr/24;;
;Abril 24;Kardian;REN0231-RNT - Kardian Lançamento Adsmovil Buy;Static Banners;6;0;0;0;Entregue;08/04/2024;08/04/2024;11/04/2024;-3;Jessica Gerald;Fabiana Delboni;R$650,62;Abr/24;;
;Abril 24;Oroch;REN0232-RNT-OROCH-PEÇAS_DIGITAIS-BUY-ABRIL;"Digital Standard HTML
Rich Media Banners
Static Banners";23;0;0;0;Entregue;09/04/2024;10/04/2024;09/04/2024;1;Jessica Gerald;Gustavo Albuquerque;R$3.460,11;Abr/24;;
;Abril 24;Kardian;REN0235-KARDIAN-PG.D.-CAR-MAGAZINE;Double Page;0;0;1;0;Entregue;12/04/2024;15/04/2024;12/04/2024;3;Jessica Gerald;Gustavo Albuquerque;R$1.239,97;Abr/24;;
;Abril 24;Kardian;REN0234-RNT-Kardian Lançamento OOH;Video no Broadcast;;13;;;Cancelado;11/04/2024;11/04/2024;11/04/2024;0;Jessica Gerald;Fabiana Delboni;R$0,00;Mai/24;;
;Abril 24;Kwid;REN0236-RENAULT-RNT-KWID-ICE-DIGITAL-TVCS;Video no Broadcast;0;3;0;0;Cancelado;15/04/2024;15/04/2024;15/04/2024;0;Jessica Gerald;Raquel Dias;R$0,00;Mai/24;;
;Abril 24;Kwid E-Tech;REN0237-RNT-KWID-E-TECH-PEÇAS ADICIONAIS-LEARN-SHOP;"Digital Standard HTML
Static Banners";4;3;0;0;Entregue;16/04/2024;17/04/2024;16/04/2024;1;Jéssica Gerald;Raquel Dias;R$5.607,15;Abr/24;;
;Abril 24;Kardian;REN0238-Kardian-TVC-25+5;Video Broadcast;0;2;0;0;Entregue;16/04/2024;17/04/2024;16/04/2024;1;Jéssica Gerald;Gustavo Albuquerque;R$3.091,42;Abr/24;;
;Abril 24;Kardian;REN0239-Kardian-Oferta-Especial-Digital;"Digital Standard HTML
Rich Media Banners
Static Banners";16;0;0;0;Entregue;18/04/2024;19/04/2024;19/04/2024;0;Jessica Gerald;Gustavo Albuquerque;R$2.039,00;Abr/24;;
;Abril 24;Kardian;REN0240 - RNT - Kardian R:Demos;Video Broadcast;0;18;0;0;Entregue;19/04/2024;24/04/2024;23/04/2024;1;Jessica Gerald;Fabiana Delboni;R$27.822,81;Abr/24;;
